Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
YB|S20|46.198799|-122.1632|2034.0|Nelson (aka S01A)|2005-06-15T00:00:00|2006-07-01T00:00:00
YH|MF00|46.348202|-122.241699|1221.0|Toutle, WA, USA|2016-06-15T00:00:00|2016-11-05T23:59:59
YH|MF11|46.36718|-122.238571|1029.0|Cougar, WA, USA|2016-06-16T00:00:00|2016-12-31T23:59:59
YH|MF12|46.365799|-122.2202|1200.0|Cougar, WA, USA|2016-06-16T00:00:00|2016-11-05T23:59:59
YH|MF13|46.374142|-122.208527|917.0|Cougar, WA, USA|2016-06-16T00:00:00|2016-12-31T23:59:59
YH|MF15|46.389301|-122.231796|595.0|Glenoma, WA, USA|2016-06-17T00:00:00|2016-11-05T23:59:59
YH|MF21|46.354801|-122.225197|1261.0|Cougar, WA, USA|2016-06-16T00:00:00|2016-11-05T23:59:59
YH|MF32|46.342579|-122.217789|1176.0|Glenoma, WA, USA|2016-06-15T00:00:00|2016-12-31T23:59:59
YH|MF34|46.334709|-122.195038|1414.0|Skamania County, WA, USA|2016-06-17T00:00:00|2016-12-31T23:59:59
YH|MF41|46.34127|-122.240768|1089.0|Toutle, WA, USA|2016-06-16T00:00:00|2016-12-31T23:59:59
YH|MF42|46.326698|-122.238403|1312.0|Cougar, WA, USA|2016-06-14T00:00:00|2016-11-05T23:59:59
YH|MF54|46.31348|-122.260246|1162.0|Toutle, WA, USA|2016-06-17T00:00:00|2016-12-31T23:59:59
YH|MF61|46.34457|-122.249771|1135.0|Toutle, WA, USA|2016-08-18T00:00:00|2016-12-31T23:59:59
YH|MF64|46.329498|-122.295197|909.0|Toutle, WA, USA|2016-06-17T00:00:00|2016-11-05T23:59:59
YH|MF68|46.3088|-122.337502|1270.0|Toutle, WA, USA|2016-06-17T00:00:00|2016-11-05T23:59:59
YH|MF72|46.361099|-122.263901|915.0|Toutle, WA, USA|2016-06-16T00:00:00|2016-11-05T23:59:59
YH|MF74|46.347672|-122.296806|720.0|Toutle, WA, USA|2016-06-17T00:00:00|2016-12-31T23:59:59
YH|MF75|46.373798|-122.298798|498.0|Toutle, WA, USA|2016-06-17T00:00:00|2016-11-05T23:59:59
YH|MF77|46.360989|-122.334732|791.0|Toutle, WA, USA|2016-06-17T00:00:00|2016-12-31T23:59:59
YH|MF79|46.3941|-122.346001|547.0|Mossyrock, WA, USA|2016-06-17T00:00:00|2016-11-05T23:59:59
YH|MF85|46.3932|-122.280296|825.0|Mossyrock, WA, USA|2016-06-17T00:00:00|2016-11-05T23:59:59
