Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
XD|1306|46.064183|-122.364881|966.4|WGS84|2014-07-22T23:14:09|2014-07-27T00:00:00
XD|13060|46.191159|-122.520001|840.1|WGS84|2014-07-23T03:09:12|2014-07-27T00:00:00
XD|13061|46.193283|-122.522011|846.5|WGS84|2014-07-23T03:01:12|2014-07-27T00:00:00
XD|13063|46.197956|-122.529524|827.8|WGS84|2014-07-23T03:07:05|2014-07-27T00:00:00
XD|13064|46.183042|-122.532045|733.4|WGS84|2014-07-22T22:07:10|2014-07-27T00:00:00
XD|13065|46.182866|-122.533893|730.8|WGS84|2014-07-22T21:58:00|2014-07-27T00:00:00
XD|13066|46.194045|-122.537916|700.8|WGS84|2014-07-22T21:38:20|2014-07-27T00:00:00
XD|13067|46.192442|-122.540725|700.6|WGS84|2014-07-22T21:49:31|2014-07-27T00:00:00
XD|13068|46.191942|-122.542602|699.0|WGS84|2014-07-22T21:48:50|2014-07-27T00:00:00
XD|13069|46.187993|-122.545626|700.7|WGS84|2014-07-22T21:56:45|2014-07-27T00:00:00
XD|1307|46.064991|-122.362725|942.6|WGS84|2014-07-22T23:07:55|2014-07-27T00:00:00
XD|13070|46.200196|-122.546834|692.7|WGS84|2014-07-22T21:35:25|2014-07-27T00:00:00
XD|13071|46.191957|-122.55108|568.8|WGS84|2014-07-22T20:54:12|2014-07-27T00:00:00
XD|13072|46.189011|-122.552432|563.6|WGS84|2014-07-22T20:49:07|2014-07-27T00:00:00
XD|13073|46.201041|-122.555093|603.0|WGS84|2014-07-22T21:00:52|2014-07-27T00:00:00
XD|13074|46.176678|-122.55713|579.3|WGS84|2014-07-22T20:41:55|2014-07-27T00:00:00
XD|13075|46.175894|-122.55922|570.5|WGS84|2014-07-22T20:34:47|2014-07-27T00:00:00
XD|13076|46.174153|-122.561288|548.9|WGS84|2014-07-22T20:33:11|2014-07-27T00:00:00
XD|13077|46.170022|-122.567066|488.6|WGS84|2014-07-22T20:25:23|2014-07-27T00:00:00
XD|13078|46.170797|-122.569746|416.4|WGS84|2014-07-22T20:21:36|2014-07-27T00:00:00
XD|13079|46.173305|-122.572074|424.5|WGS84|2014-07-22T20:14:03|2014-07-27T00:00:00
XD|1308|46.065878|-122.360909|935.4|WGS84|2014-07-22T23:02:24|2014-07-27T00:00:00
XD|13080|46.174008|-122.574905|432.2|WGS84|2014-07-22T20:14:47|2014-07-27T00:00:00
XD|13081|46.174895|-122.578098|432.9|WGS84|2014-07-22T20:03:40|2014-07-27T00:00:00
XD|13082|46.175206|-122.58009|425.9|WGS84|2014-07-22T20:06:47|2014-07-27T00:00:00
XD|13083|46.174276|-122.582415|407.5|WGS84|2014-07-22T19:55:52|2014-07-27T00:00:00
